[2026-09-12 21:24:52]	[CDH] shell attached 
[2026-09-12 21:24:53]	[CDH] shell query complete 
[2026-09-12 21:24:54]	[CDH] shell found AugustusAnt136.Civ7Save turn 136 age AGE_ANTIQUITY missingMods=0 unowned=0 
[2026-09-12 21:24:54]	[CDH] shell handleLoadSave returned true 
[2026-09-12 21:25:12]	[CDH] attached 
[2026-09-12 21:25:12]	[CulturalDiffusion] boot (turnInterval 1, verb purchasePlot, enabled true) 
[2026-09-12 21:25:17]	[CDH] LOAD GameStarted 
[2026-09-12 21:25:25]	[CDH] S0 local=0 turn=136 age=2077444219 cdConsole=object cities=[{"n":"London","x":92,"y":32,"pop":24,"town":false},{"n":"Birmingham","x":87,"y":32,"pop":16,"town":true},{"n":"Hull","x":90,"y":37,"pop":10,"town":true},{"n":"Megiddo","x":84,"y":35,"pop":10,"town":true},{"n":"Leeds","x":93,"y":26,"pop":17,"town":false},{"n":"Lāhainā","x":86,"y":20,"pop":15,"town":true}] majors=[1,2,3,4,5,6,7,8,9] cdState={"present":false} farOwned=0 freeRows=93 
[2026-09-12 21:25:25]	[CDH] S1 unownedBeyond3=72 touchingUs=25 rivalTouchingUs=7 
[2026-09-12 21:25:28]	[CDH] T1 FLIP-UNOWNED loc=89,29 pid=0 city=London before={"owner":-1,"city":-1} call=called goldSpent=0 inline={"owner":-1,"city":-1} after={"owner":0,"city":65536} => WORKS-DEFERRED-ONLY 
[2026-09-12 21:25:31]	[CDH] T2 TAKE-RIVAL loc=83,32 pid=0 city=Megiddo before={"owner":3,"city":393219} call=called goldSpent=0 inline={"owner":3,"city":393219} after={"owner":0,"city":327683} => WORKS-DEFERRED-ONLY 
[2026-09-12 21:25:34]	[CDH] T2 CEDE-BACK(d=3) loc=83,32 pid=3 city=‘Ewa before={"owner":0,"city":327683} call=called goldSpent=0 inline={"owner":0,"city":327683} after={"owner":3,"city":393219} => WORKS-DEFERRED-ONLY 
[2026-09-12 21:25:37]	[CDH] T3 BUY-FOR-RELEASE loc=90,28 pid=0 city=London before={"owner":-1,"city":-1} call=called goldSpent=0 inline={"owner":-1,"city":-1} after={"owner":0,"city":65536} => WORKS-DEFERRED-ONLY 
[2026-09-12 21:25:40]	[CDH] T3 RELEASE loc=90,28 before={"owner":0,"city":65536} call=called inline={"owner":0,"city":65536} after={"owner":0,"city":65536} => FAILS 
[2026-09-12 21:25:43]	[CDH] T4 SETUP P0=89,26 owner=-1 P1=89,25 owner=3 city=131073 rival=3 settleDist=4/4 
[2026-09-12 21:25:46]	[CDH] T4 {"label":"P0-unowned-control","loc":"89,26","plotOwner":-1,"plotCity":-1,"settlerOwner":0,"canFound":true,"canFoundXY":true} 
[2026-09-12 21:25:50]	[CDH] T4 {"label":"P1-rival-owned","loc":"89,25","plotOwner":3,"plotCity":131073,"settlerOwner":0,"canFound":false,"canFoundXY":false,"reasons":["This Unit has no valid constructions for this location."],"reasonsXY":["This Unit has no valid constructions for this location."]} 
[2026-09-12 21:25:52]	[CDH] T4 VERDICT OWNERSHIP-BLOCKS-FOUNDING 
[2026-09-12 21:25:55]	[CDH] T4 P2-our-far-claim(rival settler) settler spawn FAILED send=true unitsNow=[] 
[2026-09-12 21:26:00]	[CDH] T5 DEVELOP-FAR loc=89,29 city=London reads={"ring":4,"assignWorker":{"ok":false},"expandOffers":{"has":false,"count":0},"placementBlocked":true} terrain={"res":null,"feat":null,"ter":"TERRAIN_HILL","bio":"BIOME_TROPICAL","nav":false,"pick":"IMPROVEMENT_MINE","rows":93} create=true plotNow=[] before={"pop":24,"rural":9,"urban":13,"pending":0,"plots":38,"net":{"FOOD":29,"PRODUCTION":53,"GOLD":25,"SCIENCE":45.1,"CULTURE":38.5,"HAPPINESS":37}} after={"pop":24,"rural":9,"urban":13,"pending":0,"plots":38,"net":{"FOOD":29,"PRODUCTION":53,"GOLD":25,"SCIENCE":45.1,"CULTURE":38.5,"HAPPINESS":37}} 
[2026-09-12 21:26:05]	[CDH] T5 DEVELOP-CONTROL(ring<=3) loc=92,30 city=London reads={"ring":2,"assignWorker":{"ok":false},"expandOffers":{"has":false,"count":0},"placementBlocked":true} terrain={"res":null,"feat":"FEATURE_TROPICAL_FLOODPLAIN_NAVIGABLE","ter":"TERRAIN_NAVIGABLE_RIVER","bio":"BIOME_TROPICAL","nav":true,"pick":"IMPROVEMENT_FISHING_BOAT","rows":93} create=true plotNow=[] before={"pop":24,"rural":9,"urban":13,"pending":0,"plots":38,"net":{"FOOD":29,"PRODUCTION":53,"GOLD":25,"SCIENCE":45.1,"CULTURE":38.5,"HAPPINESS":37}} after={"pop":24,"rural":9,"urban":13,"pending":0,"plots":38,"net":{"FOOD":29,"PRODUCTION":53,"GOLD":25,"SCIENCE":45.1,"CULTURE":38.5,"HAPPINESS":37}} 
[2026-09-12 21:26:05]	[CDH] ACTIONS done; ending turns 
[2026-09-12 21:26:24]	[CDH] TURN n=2 turn=137 cdState={"present":false} farOwned=2 devFar={"plot":[],"owner":0,"city":{"pop":24,"rural":9,"urban":13,"pending":0,"plots":38,"net":{"FOOD":30,"PRODUCTION":55,"GOLD":29,"SCIENCE":51.7,"CULTURE":39.6,"HAPPINESS":36}}} 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 92,32 civ=0 culture=39.6 vitality=57.1 strength=84.16 stock=10 cap=168322.68 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 87,32 civ=0 culture=13 vitality=33.85 strength=33.98 stock=10 cap=67956.43 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 84,35 civ=0 culture=1 vitality=24.1 strength=5.7 stock=10 cap=11390.11 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 93,26 civ=0 culture=13 vitality=23.9 strength=30.08 stock=10 cap=60162.28 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 86,20 civ=0 culture=0 vitality=11.3 strength=0 stock=0 cap=0 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 90,37 civ=3 culture=5 vitality=22.65 strength=10.88 stock=10 cap=21767.11 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 82,23 civ=3 culture=5 vitality=16.35 strength=9.71 stock=10 cap=19420.4 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 81,18 civ=3 culture=8 vitality=28.45 strength=16 stock=10 cap=31998.8 
[2026-09-12 21:26:24]	[CulturalDiffusion] inject 80,31 civ=3 culture=3 vitality=13.85 strength=6.57 stock=10 cap=13147.18 
[2026-09-12 21:26:24]	[CulturalDiffusion] frontier city=65536 ring=4 best=0 bar=300 over=0/23 centre=10 
