[2026-09-12 21:50:20]	[CDH] shell attached 
[2026-09-12 21:50:21]	[CDH] shell query complete 
[2026-09-12 21:50:21]	[CDH] shell found AugustusAnt136.Civ7Save turn 136 age AGE_ANTIQUITY missingMods=0 unowned=0 
[2026-09-12 21:50:21]	[CDH] shell handleLoadSave returned true 
[2026-09-12 21:50:24]	Unhandled Promise Rejection: ReferenceError: WorldUI is not defined.  Re-run with inspector attached for callstack. 
[2026-09-12 21:50:24]	Unhandled rejection error value: ReferenceError: WorldUI is not defined
[2026-09-12 21:50:39]	[CDH] attached run3 
[2026-09-12 21:50:39]	[CulturalDiffusion] boot (turnInterval 1, verb purchasePlot, enabled true) 
[2026-09-12 21:50:44]	[CDH] LOAD GameStarted 
[2026-09-12 21:50:52]	[CDH] S0 turn=136 age=AGE_ANTIQUITY recedeConfig=true debug=true 
[2026-09-12 21:50:52]	[CDH] S1 city=Lāhainā town=true frontierTiles=9 reserved=[{"k":"88,24","ring":4,"terrain":{"ter":"TERRAIN_HILL","feat":null,"res":"RESOURCE_FLAX","bio":"BIOME_PLAINS"}},{"k":"87,24","ring":4,"terrain":{"ter":"TERRAIN_HILL","feat":null,"res":null,"bio":"BIOME_TROPICAL"}},{"k":"86,24","ring":4,"terrain":{"ter":"TERRAIN_FLAT","feat":"FEATURE_SAVANNA_WOODLAND","res":null,"bio":"BIOME_PLAINS"}}] 
[2026-09-12 21:50:56]	[CDH] S2 landed=[{"k":"88,24","owner":0,"city":458757},{"k":"87,24","owner":0,"city":458757},{"k":"86,24","owner":0,"city":458757}] 
[2026-09-12 21:50:56]	[CDH] R3 Lāhainā town=true addRuralPopulation(+1) -> ok far=88,24 ring=4 where={"owner":0,"city":458757} 
[2026-09-12 21:50:58]	[CDH] R3 canStart success=true offered=13 offersFar=false canStartFarXY=false why=undefined pending=1 maxOfferedRing=3 
