[2026-09-24 09:47:09]	[CDH] shell attached 
[2026-09-24 09:47:10]	[CDH] shell query complete 
[2026-09-24 09:47:11]	[CDH] shell found AugustusAnt136.Civ7Save turn 136 age AGE_ANTIQUITY missingMods=0 unowned=0 
[2026-09-24 09:47:11]	[CDH] shell handleLoadSave returned true 
[2026-09-24 09:47:28]	[CDH] attached run15 
[2026-09-24 09:47:28]	[CulturalDiffusion] boot (turnInterval 1, verb purchasePlot, enabled true) 
[2026-09-24 09:47:33]	[CDH] LOAD GameStarted 
[2026-09-24 09:47:41]	[CDH] S0 run15 turn=136 local=0 gold=538.9609375 modPass=DISABLED 
[2026-09-24 09:47:41]	[CDH] EV hooks attached: PlotOwnershipChanged, CityTransfered, CityAddedToMap, CityRemovedFromMap 
[2026-09-24 09:47:41]	[CDH] MAP settlements n=80 [{"pid":0,"kind":"major","at":"92,32","name":"London"},{"pid":0,"kind":"major","at":"87,32","name":"Birmingham"},{"pid":0,"kind":"major","at":"90,37","name":"Glasgow"},{"pid":0,"kind":"major","at":"84,35","name":"Megiddo"},{"pid":0,"kind":"major","at":"93,26","name":"Leeds"},{"pid":0,"kind":"major","at":"86,20","name":"Lāhainā"},{"pid":1,"kind":"major","at":"64,14","name":"Athênai"},{"pid":1,"kind":"major","at":"64,19","name":"Alexandria Spártā"},{"pid":1,"kind":"major","at":"71,15","name":"Mykenē"},{"pid":1,"kind":"major","at":"78,13","name":"Phókaia"},{"pid":1,"kind":"major","at":"68,19","name":"Alexandria Taruga"},{"pid":1,"kind":"major","at":"72,10","name":"Kórinthos"},{"pid":1,"kind":"major","at":"59,14","name":"Mīlētos"},{"pid":2,"kind":"major","at":"70,54","name":"St. Petersburg"},{"pid":2,"kind":"major","at":"74,52","name":"Moscow"},{"pid":2,"kind":"major","at":"65,55","name":"Saratov"},{"pid":2,"kind":"major","at":"78,53","name":"Rostov on 
[2026-09-24 09:47:41]	[CDH] A TARGETS [{"at":"87,28","ourRing":4,"foreignD":2},{"at":"88,29","ourRing":5,"foreignD":4},{"at":"91,22","ourRing":6,"foreignD":8}] 
[2026-09-24 09:47:49]	[CDH] A BUY near-rival 87,28 ourCity=Birmingham ourRing=4 nearestForeign={"pid":18,"kind":"citystate","at":"85,27","name":"Seleucia","d":2} buy={"call":"called","spent":0} before={"owner":-1,"city":-1} reads=[{"owner":0,"city":196609},{"owner":0,"city":196609},{"owner":0,"city":196609}] => LANDED 
[2026-09-24 09:47:58]	[CDH] A BUY mid 88,29 ourCity=London ourRing=5 nearestForeign={"pid":18,"kind":"citystate","at":"85,27","name":"Seleucia","d":4} buy={"call":"called","spent":0} before={"owner":-1,"city":-1} reads=[{"owner":0,"city":65536},{"owner":0,"city":65536},{"owner":0,"city":65536}] => LANDED 
[2026-09-24 09:48:06]	[CDH] A BUY far-from-rival 91,22 ourCity=Lāhainā ourRing=6 nearestForeign={"pid":18,"kind":"citystate","at":"85,27","name":"Seleucia","d":8} buy={"call":"called","spent":0} before={"owner":-1,"city":-1} reads=[{"owner":0,"city":458757},{"owner":0,"city":458757},{"owner":0,"city":458757}] => LANDED 
[2026-09-24 09:48:06]	[CDH] B CANDIDATES n=9 [{"at":"88,44","unit":"UNIT_ARCHER","owner":33,"ring":7},{"at":"93,41","unit":"UNIT_ARCHER","owner":33,"ring":5},{"at":"90,41","unit":"UNIT_SLINGER","owner":33,"ring":4},{"at":"86,42","unit":"UNIT_WARRIOR","owner":33,"ring":7},{"at":"90,44","unit":"UNIT_SPEARMAN","owner":33,"ring":7}] 
[2026-09-24 09:48:06]	[CDH] B PEN target 79,33 unit=UNIT_SCOUT owner=43 ringLand=6 
