[2026-09-24 15:43:58]	[CDH] shell attached 
[2026-09-24 15:43:59]	[CDH] shell query complete 
[2026-09-24 15:44:00]	[CDH] shell found AugustusAnt136.Civ7Save turn 136 age AGE_ANTIQUITY missingMods=0 unowned=0 
[2026-09-24 15:44:00]	[CDH] shell handleLoadSave returned true 
[2026-09-24 15:44:17]	[CulturalDiffusion] boot (turnInterval 1, verb purchasePlot, enabled true) 
[2026-09-24 15:44:17]	[CDH] attached borders4 
[2026-09-24 15:44:22]	[CDH] LOAD GameStarted 
[2026-09-24 15:44:32]	[CDH] CENSUS London at=92,32 maxOwnedRing=3 rings=[1,6,12,15,0,0,0] claimablePastRing3=7 nearestOtherCity=5 
[2026-09-24 15:44:32]	[CDH] CENSUS Birmingham at=87,32 maxOwnedRing=3 rings=[1,6,12,9,0,0,0] claimablePastRing3=11 nearestOtherCity=4 
[2026-09-24 15:44:32]	[CDH] CENSUS Glasgow at=90,37 maxOwnedRing=3 rings=[1,6,11,8,0,0,0] claimablePastRing3=8 nearestOtherCity=5 
[2026-09-24 15:44:32]	[CDH] CENSUS Megiddo at=84,35 maxOwnedRing=3 rings=[1,6,10,5,0,0,0] claimablePastRing3=8 nearestOtherCity=4 
[2026-09-24 15:44:32]	[CDH] CENSUS Leeds at=93,26 maxOwnedRing=3 rings=[1,6,12,8,0,0,0] claimablePastRing3=13 nearestOtherCity=6 
[2026-09-24 15:44:32]	[CDH] CENSUS Lāhainā at=86,20 maxOwnedRing=3 rings=[1,6,11,15,0,0,0] claimablePastRing3=14 nearestOtherCity=10 
[2026-09-24 15:44:32]	[CDH] PICK Lāhainā vanillaFootprint=true maxOwnedRing=3 (candidates vanilla=6/6) 
[2026-09-24 15:44:32]	[CDH] LENS untouched; active=fxs-default-lens layer=false 
[2026-09-24 15:44:32]	[CDH] POPUPS showing=? 
[2026-09-24 15:44:32]	[CDH] CAMERA before at=86,20 zoom0.4 
[2026-09-24 15:44:44]	[CDH] BEFORE city=Lāhainā maxOwnedRing=3 rings=[1,6,11,15,0,0,0] ownedWithin6=33 
[2026-09-24 15:44:44]	[CDH] SHOT 01-border-before 
